Variable Name,Variable Description,Component
SMQ845,"During the past 5 days, including today, on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?",Questionnaire
SMQ849,"During the past 5 days, including today, on how many days did {you/he/she} smoke an e-cigarette?",Questionnaire
SMQ851,"Smokeless tobacco products are placed in the mouth or nose and include chewing tobacco, snuff, snus, or dissolvables.  During the past 5 days, including today, did {you/he/she} use any smokeless tobacco? (Please do not include nicotine replacement products like patches, gum, lozenge, or spray which are considered products to help {you/him/her} stop smoking.)",Questionnaire
SMQ857O,"During the past 5 days, including today, on how many days did {you/he/she} use other smokeless tobacco products?",Questionnaire
SMQ863,"During the past 5 days, including today, did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SMD460,"Now I would like to ask you a few questions about smoking in this home.  How many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product?",Questionnaire
SMD470,"Not counting decks, porches, or detached garages, how many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product inside this home?",Questionnaire
SMD480,"(Not counting decks, porches, or detached garages) During the past 7 days, that is since last [TODAY'S DAY OF WEEK], on how many days did {anyone who lives here/you}, smoke tobacco inside this home?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SMAQUEX,Questionnaire Mode Flag.,Questionnaire
SMQ856,"I will now ask you about tobacco smoke in other places. During the last 7 days, {were you/was SP} working at a job or business outside of the home?",Questionnaire
SMQ858,"While {you were/SP was} working at a job or business outside of the home, did someone else smoke cigarettes or other tobacco products indoors?",Questionnaire
SMQ860,"{I will now ask you about smoking in other places.} During the last 7 days, did {you/SP} spend time in a restaurant?",Questionnaire
SMQ862,"While {you were/SP was} in a restaurant, did someone else smoke cigarettes or other tobacco products indoors?",Questionnaire
SMQ866,"During the last 7 days, {did you/SP} spend time in a bar?",Questionnaire
SMQ868,"While {you were/SP was} in a bar, did someone else smoke cigarettes or other tobacco products indoors?",Questionnaire
SMQ870,"During the last 7 days, did {you/SP} ride in a car or motor vehicle?",Questionnaire
SMQ872,"While {you were/SP was} riding in a car or motor vehicle, did someone else smoke cigarettes or other tobacco products?",Questionnaire
SMQ874,"During the last 7 days, did {you/SP} spend time in a home other than {your/his/her} own?",Questionnaire
SMQ876,"While {you were/SP was} in a home other than {your/his/her} own, did someone else smoke cigarettes or other tobacco products indoors?",Questionnaire
SMQ878,"During the last 7 days,{were you/was SP} in any other indoor area?",Questionnaire
SMQ880,"While {you were/SP was} in the other indoor area, did someone else smoke cigarettes or other tobacco products?",Questionnaire
SMQ940,"The next question is about e-cigarettes. During the last 7 days, {were you/was SP} in an indoor place where someone was using an e cigarette, e hookah, vape pen or other similar electronic product?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SMAQUEX2,Questionnaire Mode Flag,Questionnaire
SMD030,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Questionnaire
SMD057,"At that time, about how many cigarettes did {you/SP} usually smoke per day?",Questionnaire
SMD093,May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.,Questionnaire
SMD100BR,BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE),Questionnaire
SMD100CO,CIGARETTE CARBON MONOXIDE CONTENT,Questionnaire
SMD100FL,CIGARETTE PRODUCT FILTERED OR NON-FILTERED,Questionnaire
SMD100LN,CIGARETTE PRODUCT LENGTH,Questionnaire
SMD100MN,CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED,Questionnaire
SMD100NI,CIGARETTE NICOTINE CONTENT,Questionnaire
SMD100TR,CIGARETTE TAR CONTENT,Questionnaire
SMD630,How old were you when you smoked a whole cigarette for the first time?,Questionnaire
SMD641,On how many of the past 30 days did {you/SP} smoke a cigarette?,Questionnaire
SMD650,"During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?",Questionnaire
SMDUPCA,Cigarette 12-digit Universal Product Code (UPC),Questionnaire
SMQ020,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,Questionnaire
SMQ040,{Do you/Does SP} now smoke cigarettes?,Questionnaire
SMQ050Q,How long has it been since {you/SP} quit smoking cigarettes?,Questionnaire
SMQ050U,UNIT OF MEASURE,Questionnaire
SMQ078,How soon after you wake up do you smoke?  Would you say . . .,Questionnaire
SMQ621,The following questions are about cigarette smoking and other tobacco use.  Do not include cigars or marijuana.  About how many cigarettes have you smoked in your entire life?,Questionnaire
SMQ661,"During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smoke?",Questionnaire
SMQ665A,"Please select the Marlboro pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Marlboro.'",Questionnaire
SMQ665B,"Please select the Camel pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Camel.'",Questionnaire
SMQ665C,"Please select the Newport pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Newport.'",Questionnaire
SMQ665D,"Please select the pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other brand of cigarette.'",Questionnaire
SMQ670,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?",Questionnaire
SMQ848,"During the past 12 months, how many times {have you/has SP} stopped smoking cigarettes because {you were/he was/she was} trying to quit smoking?",Questionnaire
SMQ852Q,"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?",Questionnaire
SMQ852U,"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?",Questionnaire
SMQ890,"{Have you/Has SP} ever smoked a regular cigar, cigarillo or little filtered cigar even one time? This hand card shows examples of some cigars; however there are others not included here.",Questionnaire
SMQ895,"During the past 30 days, on how many days did {you/SP} smoke a regular cigar, cigarillo or little filtered cigar?",Questionnaire
SMQ900,"The next question is about e-cigarettes. These are battery-powered devices that usually contain liquid nicotine, and don't produce smoke. Have {you/SP} EVER used an e-cigarette EVEN ONE TIME? This hand card shows examples of some e-cigarettes and other devices used to inhale liquid nicotine; however there are others not included here.",Questionnaire
SMQ905,"During the past 30 days, on how many days did {you/SP} use e-cigarettes?",Questionnaire
SMQ910,"Smokeless tobacco products are placed in the mouth and nose and include chewing tobacco, snuff, dip, snus (pronounced as ""snoose"") and dissolvable tobacco. {Have you/Has SP} ever used smokeless tobacco even one time? This hand card shows examples of smokeless products; however there are others not included here.",Questionnaire
SMQ915,"During the past 30 days, on how many days did {you/SP} use smokeless tobacco?",Questionnaire
AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?",Questionnaire
MCD093,In what year did {you/SP} receive {your/his/her} first transfusion?,Questionnaire
MCD180a,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . . had arthritis?,Questionnaire
MCD180b,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had congestive heart failure?,Questionnaire
MCD180c,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had coronary heart disease?,Questionnaire
MCD180d,"How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had angina, also called angina pectoris?",Questionnaire
MCD180e,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a heart attack (also called myocardial infarction)?,Questionnaire
MCD180f,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a stroke?,Questionnaire
MCD180g,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had emphysema?,Questionnaire
MCD180k,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had chronic bronchitis?,Questionnaire
MCD180l,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had any kind of liver condition?,Questionnaire
MCD180m,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had another thyroid problem?,Questionnaire
MCD180n,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had gout?,Questionnaire
MCD240a,How old {were you/was SP} when {cancer in MCQ230a} was first diagnosed?,Questionnaire
MCD240b,How old {were you/was SP} when {cancer in MCQ230b} was first diagnosed?,Questionnaire
MCD240c,How old {were you/was SP} when {cancer in MCQ230c} was first diagnosed?,Questionnaire
MCQ010,The following questions are about different medical conditions. Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma (az-ma)?,Questionnaire
MCQ025,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had asthma (az-ma)?,Questionnaire
MCQ035,{Do you/Does SP} still have asthma (az-ma)?,Questionnaire
MCQ040,"During the past 12 months, {have you/has SP} had an episode of asthma (az-ma) or an asthma attack?",Questionnaire
MCQ050,"[During the past 12 months], {have you/has SP} had to visit an emergency room or urgent care center because of asthma (az-ma)?",Questionnaire
MCQ053,"During the past 3 months, {have you/has SP} been on treatment for anemia (a-nee-me-a), sometimes called ""tired blood"" or ""low blood""?  [Include diet, iron pills, iron shots, transfusions as treatment.]",Questionnaire
