Variable Name,Component,Variable Description
MCQ530,Questionnaire,"Sometimes people have more than one type of pain. I am going to ask you a few questions about the pain that has been the most uncomfortable in the past 12 months.
For the pain that was most uncomfortable please show me where the pain was located."
MCQ540,Questionnaire,{Have you/has s/he} ever seen a doctor about this pain?
MCQ550,Questionnaire,Has a doctor or other health professional ever told {you/SP} that {you/s/he} had gallstones?
MCQ560,Questionnaire,Have {you/s/he} ever had gallbladder surgery?
MCQ570,Questionnaire,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?
OSQ230,Questionnaire,"The following question is about metal objects you may have inside your body.  Do you have any artificial joints, pins, plates, metal suture material, or other types of metal objects in your body? Some common examples are on the hand card."
RHD018,Questionnaire,Derived from RHQ018 - In what month did {SP} have her first menstrual period?
SEQN,Questionnaire,Respondent sequence number.
OHQ030,Questionnaire,"The next questions are about {your/SP's} teeth and gums.  About how long has it been since {you/SP} last visited a dentist? Include all types of dentists, such as, orthodontists, oral surgeons, and all other dental specialists, as well as dental hygienists."
OHQ033,Questionnaire,What was the main reason {you/SP} last visited the dentist?
OHQ555G,Questionnaire,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?
OHQ555Q,Questionnaire,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?
OHQ555U,Questionnaire,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?
OHQ560G,Questionnaire,At what age did {SP} start using toothpaste?
OHQ560Q,Questionnaire,At what age did {SP} start using toothpaste?
OHQ560U,Questionnaire,At what age did {SP} start using toothpaste?
OHQ566,Questionnaire,Has {SP} ever received prescription fluoride drops or fluoride tablets?
OHQ571Q,Questionnaire,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops or fluoride tablets?
OHQ571U,Questionnaire,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops or fluoride tablets?
OHQ576G,Questionnaire,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?
OHQ576Q,Questionnaire,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?
OHQ576U,Questionnaire,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?
OHQ610,Questionnaire,"In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about... ...the benefits of giving up cigarettes or other types of tobacco to improve {your/SP's} dental health?"
OHQ612,Questionnaire,"(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...) ... the dental health benefits of checking {your/his/her} blood sugar?"
OHQ614,Questionnaire,"(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...)  ...the importance of examining {your/his/her} mouth for oral cancer?"
OHQ620,Questionnaire,How often during the last year (have you/ has SP) had painful aching anywhere in (your/his/her) mouth?  Would you say....
OHQ640,Questionnaire,"How often during the last year {have you/has SP} had difficulty doing {your/his/her} usual jobs or attending school because of problems with {your/his/her} teeth, mouth or dentures? Would you say . . ."
OHQ680,Questionnaire,"How often during the last year {have you/has SP} been self-conscious or embarrassed because of  {your/his/her} teeth, mouth or dentures? Would you say . .."
OHQ770,Questionnaire,During the past 12 months was there a time when (you/SP) needed dental care but could not get it at that time?
OHQ780A,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780B,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780C,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780D,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780E,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780F,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780G,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780H,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780I,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780J,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780K,Questionnaire,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ835,Questionnaire,"The next questions will ask about the condition of {your/SP's} teeth and some factors related to gum health.  Gum disease is a common problem with the mouth.  People with gum disease might have swollen gums, receding gums, sore or infected gums or loose teeth. {Do you/Does SP} think {you/s/he} might have gum disease?"
OHQ845,Questionnaire,"Overall, how would {you/SP} rate the health of {your/his/her} teeth and gums?"
OHQ848G,Questionnaire,How many times {do you/does SP} brush (your/his/her} teeth in one day?
OHQ848Q,Questionnaire,How many times {do you/does SP} brush (your/his/her} teeth in one day?
OHQ849,Questionnaire,"On average, how much toothpaste {do you/does SP} use when brushing {your/his/her} teeth?"
OHQ850,Questionnaire,"{Have you/Has SP} ever had treatment for gum disease such as scaling and root planing, sometimes called ""deep cleaning""?"
OHQ860,Questionnaire,{Have you/Has SP} ever been told by a dental professional that {you/s/he} lost bone around [your/his/her} teeth?
OHQ870,Questionnaire,"Aside from brushing {your/his/her} teeth with a toothbrush, in the last seven days, how many days did {you/SP} use dental floss or any other device to clean between {your/his/her} teeth?"
OHQ880,Questionnaire,"{Have you/Has SP} ever had an exam for oral cancer in which the doctor or dentist pulls on {your/his/her} tongue, sometimes with gauze wrapped around it, and feels under the tongue and inside the cheeks?"
OHQ895,Questionnaire,"When did {you/SP} have {your/his/her} most recent oral or mouth cancer exam?  Was it within the past year, between 1 and 3 years ago, or over 3 years ago?"
OHQ900,Questionnaire,What type of health care professional performed {your/SP's} most recent oral cancer exam?
SEQN,Questionnaire,Respondent sequence number.
HSAQUEX,Questionnaire,Source of Health Status Data
HSD010,Questionnaire,Next I have some general questions about {your/SP's} health. Would you say {your/SP's} health in general is . . .
HSQ500,Questionnaire,Did {you/SP} have a head cold or chest cold that started during those 30 days?
HSQ510,Questionnaire,Did {you/SP} have a stomach or intestinal illness with vomiting or diarrhea that started during those 30 days?
HSQ520,Questionnaire,"Did {you/SP} have flu, pneumonia, or ear infections that started during those 30 days?"
HSQ571,Questionnaire,"During the past 12 months, that is, since (DISPLAY CURRENT MONTH, DISPLAY LAST YEAR), (have you/has SP) donated blood?"
HSQ580,Questionnaire,How long ago was {your/SP's} last blood donation?
HSQ590,Questionnaire,"Except for tests {you/SP} may have had as part of blood donations, {have you/has he/has she} ever had {your/his/her} blood tested for the AIDS virus infection?"
SEQN,Questionnaire,Respondent sequence number.
HOD050,Questionnaire,How many rooms are in this home?  Count the kitchen but not the bathroom.
HOQ065,Questionnaire,"Is this {mobile home/house/apartment} owned, being bought, rented, or occupied by some other arrangement by {you/you or someone else in your family}?"
SEQN,Questionnaire,Respondent sequence number.
DED031,Questionnaire,"If after several months of not being in the sun, {you/SP} then went out in the sun without sunscreen or protective clothing for a half hour, which one of these would happen to {your/his/her} skin?"
DED120,Questionnaire,"The next questions ask about the time you spent outdoors during the past 30 days. By outdoors, I mean outside and not under any shade. How much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon 
on the days that you worked or went to school?"
DED125,Questionnaire,"During the past 30 days, how much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days when you were not working or going to school?"
DEQ034A,Questionnaire,"When {you go/SP goes} outside on a very sunny day, for more than one hour, how often {do you/does SP} Stay in the shade?"
DEQ034C,Questionnaire,Wear a long sleeved shirt?  Would you say . . .
DEQ034D,Questionnaire,Use sunscreen?  Would you say . . .
DEQ038G,Questionnaire,How many times in the past year {have you/has SP} had a sunburn?
DEQ038Q,Questionnaire,How many times in the past year {have you/has SP} had a sunburn?
SEQN,Questionnaire,Respondent sequence number.
IND235,Questionnaire,Monthly family income (reported as a range value in dollars).
IND310,Questionnaire,Total savings or cash assets at this time for {you/NAMES OF OTHER FAMILY/your family}.
INDFMMPC,Questionnaire,Family monthly poverty level index categories.
INDFMMPI,Questionnaire,"Family monthly poverty level index, a ratio of monthly family income to the HHS poverty guidelines specific to family size."
INQ012,Questionnaire,Did {you/you or any family members 16 and older} receive income in {LAST CALENDAR YEAR} from self-employment including business and farm income? [Self-employment means you worked for yourself.]
INQ020,Questionnaire,"The next questions are about {your/your combined family} income.  When answering these questions, please remember that by {""income/combined family income""}, I mean {your income/your income plus the income of {NAMES OF OTHER NHANES FAMILY MEMBERS} for {LAST CALENDAR YEAR}.  Did {you/you and OTHER NHANES FAMILY MEMBERS 16+} receive income in {LAST CALENDAR YEAR} from wages and salaries? [Did {you/you or OTHER FAMILY MEMBERS 16+} get paid for work in {LAST CALENDAR YEAR}.]"
INQ030,Questionnaire,"When answering the next questions about different kinds of income members of your family might have received in {LAST CALENDAR YEAR}, please consider that we also want to know about family members less than 16 years old.  Did {you/you or any family members living here, that is: you or NAME(S) OF OTHER NHANES FAMILY MEMBERS} receive income in {LAST CALENDAR YEAR} from Social Security or Railroad Retirement?"
INQ060,Questionnaire,Did {you/you or any family members living here} receive any disability pension [other than Social Security or Railroad Retirement] in {LAST CALENDAR YEAR}?
