Variable,Encoding
DUQ300,"{11: '11 years or under', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ310Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DUQ310U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 4: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ320,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DUQ330,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ340,"{11: '11 years or under', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ350Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DUQ350U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 4: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ352,"{1: 'Once', 2: '2-5 times', 3: '6-19 times', 4: '20-49 times', 5: '50-99 times', 6: '100 times or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DUQ360,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DUQ370,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ380A,"{1: 'Cocaine', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ380B,"{2: 'Heroin', '.': 'Missing'}"
DUQ380C,"{3: 'Methamphetamine', '.': 'Missing'}"
DUD380F,"{6: 'Steroids or any other drugs', '.': 'Missing'}"
DUQ390,"{11: '11 years or under', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ400Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DUQ400U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 4: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ410,"{1: 'Once', 2: '2-5 times', 3: '6-19 times', 4: '20-49 times', 5: '50-99 times', 6: '100 times or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DUQ420,"{1: 'More than once a day,', 2: 'About once a day,', 3: 'At least once a week but not every day,', 4: 'At least once a month but not every week,', 5: 'Less than once a month', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ430,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ECD010,"{14: '14 years or younger', 45: '45 years or older', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
ECQ020,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ECD070A,"{3: '3 pounds or less', 11: '11 pounds or more', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
ECD070B,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
ECQ080,"{1: 'More than 5-1/2 lbs. (2500 g), or', 2: 'Less than 5-1/2 lbs. (2500 g)?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ECQ090,"{1: 'More than 9 lbs. (4100 g), or', 2: 'Less than 9 lbs. (4100 g)?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
WHQ030E,"{1: 'Overweight', 2: 'Underweight', 3: 'About the right weight', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ080E,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ECQ150,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD032A,"{1: 'Often true', 2: 'Sometimes true', 3: 'Never true', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD032B,"{1: 'Often true', 2: 'Sometimes true', 3: 'Never true', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD032C,"{1: 'Often true', 2: 'Sometimes true', 3: 'Never true', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD041,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD052,"{1: 'Almost every month,', 2: 'Some months but not every month, or', 3: 'Only 1 or 2 months?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD061,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD071,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD081,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD092,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD102,"{1: 'Almost every month,', 2: 'Some months but not every month, or', 3: 'Only 1 or 2 months?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD032D,"{1: 'Often true', 2: 'Sometimes true', 3: 'Never true', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD032E,"{1: 'Often true', 2: 'Sometimes true', 3: 'Never true', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD032F,"{1: 'Often true', 2: 'Sometimes true', 3: 'Never true', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD111,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD122,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD132,"{1: 'Almost every month,', 2: 'Some months but not every month, or', 3: 'Only 1 or 2 months?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD141,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD146,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSDHH,"{1: 'HH full food security: 0', 2: 'HH marginal food security: 1-2', 3: 'HH low food security: 3-5 (HH w/o child) / 3-7 (HH w/ child)', 4: 'HH very low food security: 6-10 (HH w/o child) / 8-18 (HH w/ child)', '.': 'Missing'}"
FSDAD,"{1: 'AD full food security: 0', 2: 'AD marginal food security: 1-2', 3: 'AD low food security: 3-5', 4: 'AD very low food security: 6-10', '.': 'Missing'}"
FSDCH,"{1: 'CH full or marginal food security: 0', 2: 'CH marginal food security: 1', 3: 'CH low food security: 2-4', 4: 'CH very low food security: 5-8', '.': 'Missing'}"
FSD151,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSQ165,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD165N,"{7: '7 or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
FSQ012,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD012N,"{7: '7 or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
FSD230,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD230N,"{7: '7 or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
FSD795,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
FSD225,"{55555: 'More than 300 days', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
FSD235,"{55555: 'More than $1,000', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
FSD855,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD860,"{77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
FSQ865,"{77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
FSQ162,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSQ760,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD760N,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
FSQ653,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD660ZC,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD675,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD680,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD670ZC,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
FSQ690,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSQ695,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
FSD652ZW,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD672ZW,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
FSD652CW,"{1: 'Yes', 2: 'No', 3: 'Currently pregnant', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
FSD660ZW,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HIQ011,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HIQ031A,"{14: 'Covered by private insurance', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
HIQ031B,"{15: 'Covered by Medicare', '.': 'Missing'}"
HIQ031C,"{16: 'Covered by Medi-Gap', '.': 'Missing'}"
HIQ031D,"{17: 'Covered by Medicaid', '.': 'Missing'}"
HIQ031E,"{18: 'Covered by CHIP', '.': 'Missing'}"
HIQ031F,"{19: 'Covered by military health care', '.': 'Missing'}"
HIQ031H,"{21: 'Covered by state-sponsored health plan', '.': 'Missing'}"
HIQ031I,"{22: 'Covered by other government insurance', '.': 'Missing'}"
HIQ031J,"{23: 'Covered by single service plan', '.': 'Missing'}"
HIQ031AA,"{40: 'No coverage of any type', '.': 'Missing'}"
HIQ260,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HIQ105,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
HIQ270,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HIQ210,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HEQ010,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HEQ020,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HEQ030,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HEQ040,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HUQ010,"{1: 'Excellent,', 2: 'Very good,', 3: 'Good,', 4: 'Fair, or', 5: 'Poor?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HUQ020,"{1: 'Better,', 2: 'Worse, or', 3: 'About the same?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HUQ030,"{1: 'Yes', 2: 'There is no place', 3: 'There is more than one place', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HUQ041,"{1: 'Clinic or health center', 2: ""Doctor's office or HMO"", 3: 'Hospital emergency room', 4: 'Hospital outpatient department', 5: 'Some other place', 6: ""Doesn't go to one place most often"", 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
HUQ051,"{0: 'None', 1: '1', 2: '2 to 3', 3: '4 to 5', 4: '6 to 7', 5: '8 to 9', 6: '10 to 12', 7: '13 to 15', 8: '16 or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
HUQ061,"{1: '6 months or less,', 2: 'more than 6 months, but not more than 1 year ago,', 3: 'more than 1 year, but not more than 2 years ago,', 4: 'more than 2 years, but not more than 5 years ago,', 5: 'more than 5 years ago, or', 6: 'Never?', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
HUQ071,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HUD080,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6 times or more', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
HUQ090,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HOD050,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13 or more', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
HOQ065,"{1: 'Owned or being bought', 2: 'Rented', 3: 'Other arrangement', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IMQ011,"{1: 'Yes, at least 2 doses', 2: 'Less than 2 doses', 3: 'No doses', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IMQ020,"{1: 'Yes at least 3 doses', 2: 'Less than 3 doses', 3: 'No doses', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IMQ060,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IMQ070,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IMQ081A,"{1: 'CERVARIX', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IMQ081B,"{2: 'GARDASIL', '.': 'Missing'}"
IMQ081C,"{3: 'GARDASIL 9', '.': 'Missing'}"
IMQ081D,"{4: 'GARDASIL (not sure wich one)', '.': 'Missing'}"
IMQ090,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
IMQ100,"{1: '1 Dose', 2: '2 Doses', 3: '3 Doses', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ020,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ012,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ030,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ060,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ080,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ090,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ132,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ140,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ150,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IND235,"{1: '$0 - $399', 2: '$400 - $799', 3: '$800 - $1,249', 4: '$1,250 - $1,649', 5: '$1,650 - $2,099', 6: '$2,100 - $2,899', 7: '$2,900 - $3,749', 8: '$3,750 - $4,599', 9: '$4,600 - $5,399', 10: '$5,400 - $6,249', 11: '$6,250 - $8,399', 12: '$8,400 and over', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
INDFMMPI,"{5: 'Value greater than or equal to 5.00', '.': 'Missing'}"
INDFMMPC,"{1: 'Monthly poverty level index <= 1.30', 2: '1.30 < Monthly poverty level index <= 1.85', 3: 'Monthly poverty level index > 1.85', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
INQ300,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
IND310,"{1: '$0 - $3,000', 2: '$3,001 - $5,000', 3: '$5,001 - $10,000', 4: '$10,001 - $15,000', 5: '$15,001 - $20,000', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
INQ320,"{1: 'In my car', 2: 'In a car that belongs to someone I live with', 3: 'In a car that belongs to someone who lives elsewhere', 4: 'Walk', 5: 'Ride bicycle', 6: 'Bus, subway or other public transit', 7: 'Taxi or other paid driver', 8: 'Someone else delivers groceries', 9: 'Other', 66: 'No usual mode of traveling to store', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
KIQ022,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ025,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ026,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ029,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ005,"{1: 'Never', 2: 'Less than once a month', 3: 'A few times a month', 4: 'A few times a week', 5: 'Every day and/or night', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ010,"{1: 'Drops', 2: 'Small splashes', 3: 'More', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ042,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ430,"{1: 'Less than once a month', 2: 'A few times a month', 3: 'A few times a week', 4: 'Every day and/or night', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ044,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ450,"{1: 'Less than once a month', 2: 'A few times a month', 3: 'A few times a week', 4: 'Every day and/or night', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ046,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ470,"{1: 'Less than once a month', 2: 'A few times a month', 3: 'A few times a week', 4: 'Every day and/or night', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ050,"{1: 'Not at all', 2: 'Only a little', 3: 'Somewhat', 4: 'Very much', 5: 'Greatly', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ052,"{1: 'Not at all', 2: 'Only a little', 3: 'Somewhat', 4: 'Very much', 5: 'Greatly', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
KIQ480,"{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5 or more', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ010,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ025,"{80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ035,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ040,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ050,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AGQ030,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ053,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ080,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ092,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD093,"{1: 'Before 1972', 2: '1972 - 1991', 3: '1992 to present', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ149,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ151,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHD018,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
MCQ160a,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180a,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ195,"{1: 'Osteoarthritis or degenerative arthritis', 2: 'Rheumatoid arthritis', 3: 'Psoriatic arthritis', 4: 'Other', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ160n,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180n,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160b,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180b,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160c,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180c,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160d,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180d,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160e,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180e,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160f,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180f,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160m,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ170m,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180m,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160g,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180g,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160k,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ170k,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180k,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ160o,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ160l,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ170l,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCD180l,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ500,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ510a,"{1: 'Fatty liver', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
MCQ510b,"{2: 'Liver fibrosis', '.': 'Missing'}"
MCQ510c,"{3: 'Liver cirrhosis', '.': 'Missing'}"
MCQ510d,"{4: 'Viral hepatitis', '.': 'Missing'}"
MCQ510e,"{5: 'Autoimmune hepatitis', '.': 'Missing'}"
MCQ510f,"{6: 'Other liver disease', '.': 'Missing'}"
MCQ520,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ530,"{1: 'Right upper abdomen', 2: 'Mid upper abdomen', 3: 'Left upper abdomen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ540,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ550,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ560,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ570,"{80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ203,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ206,"{80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ220,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
MCQ230a,"{10: 'Bladder', 11: 'Blood', 12: 'Bone', 13: 'Brain', 14: 'Breast', 15: 'Cervix (cervical)', 16: 'Colon', 17: 'Esophagus (esophageal)', 18: 'Gallbladder', 19: 'Kidney', 20: 'Larynx/ windpipe', 21: 'Leukemia', 22: 'Liver', 23: 'Lung', 24: ""Lymphoma/ Hodgkin's disease"", 25: 'Melanoma', 26: 'Mouth/tongue/lip', 27: 'Nervous system', 28: 'Ovary (ovarian)', 29: 'Pancreas (pancreatic)', 30: 'Prostate', 31: 'Rectum (rectal)', 32: 'Skin (non-melanoma)', 33: ""Skin (don't know what kind)"", 34: 'Soft tissue (muscle or fat)', 35: 'Stomach', 36: 'Testis (testicular)', 37: 'Thyroid', 38: 'Uterus (uterine)', 39: 'Other', 66: 'More than 3 kinds', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
MCD240a,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ230b,"{10: 'Bladder', 11: 'Blood', 12: 'Bone', 13: 'Brain', 14: 'Breast', 15: 'Cervix (cervical)', 16: 'Colon', 17: 'Esophagus (esophageal)', 18: 'Gallbladder', 19: 'Kidney', 20: 'Larynx/ windpipe', 21: 'Leukemia', 22: 'Liver', 23: 'Lung', 24: 'Lymphoma/ Hodgkins disease', 25: 'Melanoma', 26: 'Mouth/tongue/lip', 27: 'Nervous system', 28: 'Ovary (ovarian)', 29: 'Pancreas (pancreatic)', 30: 'Prostate', 31: 'Rectum (rectal)', 32: 'Skin (non-melanoma)', 33: ""Skin (don't know what kind)"", 34: 'Soft tissue (muscle or fat)', 35: 'Stomach', 36: 'Testis (testicular)', 37: 'Thyroid', 38: 'Uterus (uterine)', 39: 'Other', 66: 'More than 3 kinds', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
MCD240b,"{16: '16 years or younger', 80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
MCQ230c,"{10: 'Bladder', 11: 'Blood', 12: 'Bone', 13: 'Brain', 14: 'Breast', 15: 'Cervix (cervical)', 16: 'Colon', 17: 'Esophagus (esophageal)', 18: 'Gallbladder', 19: 'Kidney', 20: 'Larynx/ windpipe', 21: 'Leukemia', 22: 'Liver', 23: 'Lung', 24: 'Lymphoma/ Hodgkins disease', 25: 'Melanoma', 26: 'Mouth/tongue/lip', 27: 'Nervous system', 28: 'Ovary (ovarian)', 29: 'Pancreas (pancreatic)', 30: 'Prostate', 31: 'Rectum (rectal)', 32: 'Skin (non-melanoma)', 33: ""Skin (don't know what kind)"", 34: 'Soft tissue (muscle or fat)', 35: 'Stomach', 36: 'Testis (testicular)', 37: 'Thyroid', 38: 'Uterus (uterine)', 39: 'Other', 66: 'More than 3 kinds', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
