Variable,DataType,Label,Plain Description,Target
DBQ400,questionnaire,School serve complete breakfast each day,Does {your/SP's} school serve a complete breakfast that costs the same every day?,Both males and females 4 YEARS -19 YEARS
DBD411,questionnaire,# of times/week get school breakfast,"During the school year, about how many times a week {do you/does SP} usually get a complete breakfast at school?",Both males and females 4 YEARS -19 YEARS
DBQ421,questionnaire,School breakfast free/reduced/full price,"{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/does he/she} pay full price?",Both males and females 4 YEARS -19 YEARS
DBQ422,questionnaire,,"CHECK ITEM DBQ422:  IF DBQ390 = CODE 1 OR CODE 2, OR DBQ421 = CODE 1 OR CODE 2, CONTINUE;  OTHERWISE, GO TO DBD895.",Both males and females 4 YEARS -19 YEARS
DBQ424,questionnaire,Summer program meal free/reduced price,(Do you/Does SP) get a free or reduced price meal at any summer program (he/she) attends?,Both males and females 4 YEARS -19 YEARS
DBD895,questionnaire,# of meals not home prepared,"Next I'm going to ask you about meals.  By meal, I mean breakfast, lunch and dinner.  During the past 7 days, how many meals {did you/did SP} get that were prepared away from home in places such as restaurants, fast food places, food stands, grocery stores, or from vending machines?  {Please do not include meals provided as part of the school lunch or school breakfast./Please do not include meals provided as part of the community programs you reported earlier.}",Both males and females 1 YEARS -150 YEARS
DBD900,questionnaire,# of meals from fast food or pizza place,How many of those meals {did you/did SP} get from a fast-food or pizza place?,Both males and females 1 YEARS -150 YEARS
DBD905,questionnaire,# of ready-to-eat foods in past 30 days,"Some grocery stores sell ""ready to eat"" foods such as salads, soups, chicken, sandwiches and cooked vegetables in their salad bars and deli counters.  During the past 30 days, how often did {you/SP} eat ""ready to eat"" foods from the grocery store?  Please do not include sliced meat or cheese you buy for sandwiches and frozen or canned foods.",Both males and females 1 YEARS -150 YEARS
DBD910,questionnaire,# of frozen meals/pizza in past 30 days,"During the past 30 days, how often did you {SP} eat frozen meals or frozen pizzas?  Here are some examples of frozen meals and frozen pizzas.",Both males and females 1 YEARS -150 YEARS
DBQ715a,questionnaire,,"BOX 15a  CHECK ITEM DBQ715a: IF SP AGE < 16, GO TO END OF SECTION.  OTHERWISE, CONTINUE.",Both males and females 1 YEARS -150 YEARS
CBQ596,questionnaire,Heard of My Plate,Next I'm going to ask a few questions about the nutritional guidelines recommended for Americans by the federal government.  {Have you/Has SP} heard of My Plate?,Both males and females 16 YEARS -150 YEARS
CBQ606,questionnaire,Looked up My Plate on internet,{Have you/Has SP} looked up the My Plate plan on the internet?,Both males and females 16 YEARS -150 YEARS
CBQ611,questionnaire,Tried My Plate plan,{Have you/Has SP} tried to follow the recommendations in the My Plate plan?,Both males and females 16 YEARS -150 YEARS
DBQ930,questionnaire,Main meal planner/preparer,{Are you/Is SP} the person who does most of the planning or preparing of meals in {your/SP's} family?,Both males and females 16 YEARS -150 YEARS
DBQ935,questionnaire,Shared meal planning/preparing duty,{Do you/Does SP} share in the planning or preparing of meals with someone else?,Both males and females 16 YEARS -150 YEARS
DBQ940,questionnaire,Main food shopper,{Are you/Is SP} the person who does most of the shopping for food in {your/SP's} family?,Both males and females 16 YEARS -150 YEARS
DBQ945,questionnaire,Shared food shopping duty,{Do you/Does SP} share in the shopping for food with someone else?,Both males and females 16 YEARS -150 YEARS
DLQ010,questionnaire,Have serious difficulty hearing?,"With this next set of questions, we want to learn about people who have physical, mental, or emotional conditions that cause serious difficulties with their daily activities. Though different, these questions may sound similar to ones I asked earlier. {Are you/Is SP} deaf or {do you/does he/does she} have serious difficulty hearing?",Both males and females 1 YEARS -150 YEARS
DLQ020,questionnaire,Have serious difficulty seeing?,{Are you/Is SP} blind or {do you/does he/does she} have serious difficulty seeing even when wearing glasses?,Both males and females 1 YEARS -150 YEARS
DLQ040,questionnaire,Have serious difficulty concentrating?,"Because of a physical, mental, or emotional condition, {do you/does he/does she} have serious difficulty concentrating, remembering, or making decisions?",Both males and females 5 YEARS -150 YEARS
DLQ050,questionnaire,Have serious difficulty walking?,{Do you/Does SP} have serious difficulty walking or climbing stairs?,Both males and females 5 YEARS -150 YEARS
DLQ060,questionnaire,Have difficulty dressing or bathing?,{Do you/Does SP} have difficulty dressing or bathing?,Both males and females 5 YEARS -150 YEARS
DLQ080,questionnaire,Have difficulty doing errands alone?,"Because of a physical, mental, or emotional condition, {do you/does he/does she} have difficulty doing errands alone such as visiting a doctor's office or shopping?",Both males and females 15 YEARS -150 YEARS
DLQ090,questionnaire,,"CHECK ITEM. IF SP AGE < 18 OR PROXY INTERVIEW, GO TO END OF SECTION.OTHERWISE, CONTINUE.",Both males and females 5 YEARS -150 YEARS
DLQ100,questionnaire,How often do you feel worried or anxious,"How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never?",Both males and females 18 YEARS -150 YEARS
DLQ110,questionnaire,Take medication for these feelings?,Do you take medication for these feelings?,Both males and females 18 YEARS -150 YEARS
DLQ120,questionnaire,,"CHECK ITEM. IF DLQ100 = 5, GO TO DLQ140. OTHERWISE, CONTINUE.",Both males and females 18 YEARS -150 YEARS
DLQ130,questionnaire,How worried or anxious were you?,"Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?",Both males and females 18 YEARS -150 YEARS
DLQ140,questionnaire,How often do you feel depressed?,"How often do you feel depressed? Would you say daily, weekly, monthly, a few times a year, or never?",Both males and females 18 YEARS -150 YEARS
DLQ150,questionnaire,Take medication for depression?,Do you take medication for depression?,Both males and females 18 YEARS -150 YEARS
DLQ160,questionnaire,,"CHECK ITEM. IF DLQ140 = 5, GO TO END OF SECTION. OTHERWISE, CONTINUE.",Both males and females 18 YEARS -150 YEARS
DLQ170,questionnaire,How depressed did you feel?,"Thinking about the last time you felt depressed, how depressed did you feel? Would you say a little, a lot, or somewhere in between?",Both males and females 18 YEARS -150 YEARS
DUQ200,questionnaire,Ever used marijuana or hashish,"The following questions ask about use of drugs not prescribed by a doctor. Please remember that your answers to these questions are strictly confidential. The first questions are about marijuana and hashish. Marijuana is also called pot or grass. Marijuana is usually smoked, either in cigarettes, called joints, or in a pipe. It is sometimes cooked in food. Hashish is a form of marijuana that is also called 'hash.' It is usually smoked in a pipe. Another form of hashish is hash oil. Have you ever, even once, used marijuana or hashish?",Both males and females 18 YEARS -59 YEARS
DUQ210,questionnaire,Age when first tried marijuana,How old were you the first time you used marijuana or hashish?,0 to 59
DUQ211,questionnaire,Used marijuana every month for a year?,Have you ever smoked marijuana or hashish at least once a month for more than one year?,Both males and females 18 YEARS -59 YEARS
DUQ213,questionnaire,Age started regularly using marijuana,How old were you when you started smoking marijuana or hashish at least once a month for one year?,0 to 59
DUQ215Q,questionnaire,Time since last used marijuana regularly,How long has it been since you last smoked marijuana or hashish at least once a month for one year?,Both males and females 18 YEARS -59 YEARS
DUQ215U,questionnaire,Time since used marijuana regularly/unit,How long has it been since you last smoked marijuana or hashish at least once a month for one year?,Both males and females 18 YEARS -59 YEARS
DUQ217,questionnaire,How often would you use marijuana?,"During the time that you smoked marijuana or hashish, how often would you usually use it?",Both males and females 18 YEARS -59 YEARS
DUQ219,questionnaire,How many joints or pipes smoke in a day?,"During the time that you smoked marijuana or hashish, how many joints or pipes would you usually smoke in a day?",Both males and females 18 YEARS -59 YEARS
DUQ220Q,questionnaire,Last time used marijuana or hashish,How long has it been since you last used marijuana or hashish?,Both males and females 18 YEARS -59 YEARS
DUQ220U,questionnaire,Last time used marijuana or hashish/unit,How long has it been since you last used marijuana or hashish?,Both males and females 18 YEARS -59 YEARS
DUQ230,questionnaire,# days used marijuana or hashish/month,"During the past 30 days, on how many days did you use marijuana or hashish?",Both males and females 18 YEARS -59 YEARS
DUQ240,questionnaire,Ever used cocaine/heroin/methamphetamine,"Have you ever used cocaine, crack cocaine, heroin, or methamphetamine?",Both males and females 18 YEARS -69 YEARS
DUQ250,questionnaire,Ever use any form of cocaine,"The following questions are about cocaine, including all the different forms of cocaine such as powder, 'crack', 'free base', and coca paste.  Have you ever, even once, used cocaine, in any form?",Both males and females 18 YEARS -69 YEARS
DUQ260,questionnaire,Age first used cocaine,"How old were you the first time you used cocaine, in any form?",0 to 59
DUQ270Q,questionnaire,"Last time you used cocaine, in any form","How long has it been since you last used cocaine, in any form?",Both males and females 18 YEARS -59 YEARS
DUQ270U,questionnaire,Last time you used cocaine/unit,"How long has it been since you last used cocaine, in any form?",Both males and females 18 YEARS -59 YEARS
DUQ272,questionnaire,# of time you used cocaine,"During your life, altogether how many times have you used cocaine, in any form?",Both males and females 18 YEARS -59 YEARS
DUQ280,questionnaire,# of days used cocaine/month,"During the past 30 days, on how many days did you use cocaine, in any form?",Both males and females 18 YEARS -59 YEARS
DUQ290,questionnaire,Ever used heroin,"The following questions are about heroin.  Have you ever, even once, used heroin?",Both males and females 18 YEARS -69 YEARS
DUQ300,questionnaire,Age first used heroin,How old were you the first time you used heroin?,0 to 59
DUQ310Q,questionnaire,Last time used heroin,How long has it been since you last used heroin?,Both males and females 18 YEARS -59 YEARS
